-0.94941,11.777
1.0664,10.022
2.2872,9.4446
-1.4905,10.77
5.0588,8.1908
3.2118,6.6524
6.2155,10.712
-0.4937,9.7742
-1.6984,4.703
1.6541,6.2882
3.915,11.234
3.0236,9.3494
1.0677,10.734
0.27207,10.341
-0.8692,15.518
0.22166,11.142
2.171,10.484
0.471,8.1167
1.5626,9.0791
-1.9093,13.99
-3.9757,10.565
-0.75759,5.0344
3.8365,11.361
3.1163,9.4852
0.60157,9.6711
1.3224,8.3706
2.3096,8.2282
-0.10617,8.5578
-1.2786,11.096
0.068067,10.567
3.717,8.4334
2.089,9.0889
2.2618,3.7974
-1.192,6.9087
3.6181,8.1903
-1.863,10.928
-2.2212,11.827
-0.28001,9.3467
-3.7729,7.7567
-0.38239,10.239
-0.46354,12.962
-4.9133,9.2942
-0.92757,9.7479
3.3325,9.792
-1.9946,12.69
4.437,12.198
-2.2418,6.4137
-0.60657,7.8938
-0.43934,12.304
1.1778,12.298
-2.104,9.477
-0.52772,8.2161
-0.22549,7.605
2.6923,13.093
-4.4246,10.379
2.3984,10.171
-0.30841,7.1324
2.6596,12.769
-0.52772,6.9371
-0.98564,14.12
-4.5333,4.9082
6.6311,12.847
-1.6877,9.2795
5.1584,14.126
0.41812,14.588
-0.083022,11.506
2.3472,15.573
-0.21211,12.156
-0.61574,9.5471
-1.6811,13.265
3.9897,7.8566
-0.66694,8.9883
-6.0213,12.346
1.7096,12.368
0.081614,6.8645
-2.3282,10.88
1.5095,4.7879
-0.25581,11.448
-4.2485,5.5775
-0.48309,8.8135
-0.60651,12.713
-0.56258,10.099
-2.1821,10.045
2.1654,12.96
0.93014,7.2638
-1.2002,9.1318
2.4306,13.429
-1.0522,9.9148
-1.4191,5.8567
1.0919,9.2302
-5.6117,13.933
-1.9534,8.5684
-3.1771,13.684
-0.19386,13.404
1.4944,6.026
-0.91309,14.193
-3.9513,9.1618
0.6088,10.389
0.66779,8.3903
-1.9699,8.2759
-3.466,11.585
3.2961,9.5353
-1.4316,5.1962
0.4234,10.151
-0.49842,8.9417
0.5785,12.885
1.2916,17.242
-1.0214,11.511
-2.6376,11.223
1.2906,9.9692
5.2168,12.154
-0.6307,8.9407
-1.007,10.575
1.9166,2.8812
1.3727,10.917
-4.9469,9.0504
0.7872,6.8084
-1.192,8.1837
-0.42369,10.846
-1.5349,3.5795
0.97818,4.3263
-3.8325,14.093
1.0766,8.5634
0.52604,8.5729
1.822,4.9442
-0.49743,10.955
3.4857,14.841
-1.0148,5.3883
-3.3526,11.869
2.1662,11.37
-0.82912,6.9248
-6.5619,9.8337
